imdb_link	title	edition	plot_summary	length	fun_fact_1	fun_fact_2	fun_fact_3	imdb_review	metacritic_review	rotten_tomato_review	img_url	trailer	genres	year	rating
https://www.imdb.com/title/tt0120737	The Lord of the Rings: The Fellowship of the Ring	Standard	The future of civilization rests in the fate of the One Ring, which has been lost for centuries. Powerful forces are unrelenting in their search for it. But fate has placed it in the hands of a young Hobbit named Frodo Baggins, who inherits the Ring and steps into legend. A daunting task lies ahead for Frodo when he becomes the Ringbearer, to destroy the One Ring in the fires of Mount Doom where it was forged. 	178m	"For high-tech tasks, a computer program called MASSIVE made armies of CGI orcs, elves, and humans. These digital creations could ""think"" and battle independently, identifying friend or foe, thanks to individual fields of vision. Director Peter Jackson's team could click on one creature, in a crowd scene of twenty thousand, and see through his ""eyes"". Different species even boast unique fighting styles. "	During the Council of Elrond, leaves are continually falling in the background to suggest that this is a meeting that is taking place outside. This meant about half a dozen crew members were positioned above the set, dropping leaves at various intervals. This also meant that the production department had to collect numerous sacks of leaves during autumn, and of course dead leaves turn brown fairly quickly, which also meant that every one of those leaves had to be painted.	When Pippin is being hit with the apples after asking about second breakfast, it is Viggo Mortensen chucking the apple at his head. They had to shoot the scene sixteen times to get it just right, and Billy Boyd says he believes Mortensen enjoyed himself immensely. 	8.8	92	91.00%	https://www.imdb.com/title/tt0120737/mediaviewer/rm3592958976?ref_=tt_ov_i	https://m.media-amazon.com/images/M/MV5BODk1MzkwNTA4N15BMl5BanBnXkFtZTgwOTU1ODY3MjI@._V1_CR0,60,640,360_AL_UX477_CR0,0,477,268_AL_.jpg	Action, Adventure, Drama, Fantasy	2001	PG-13
https://www.imdb.com/title/tt0120737	The Lord of the Rings: The Fellowship of the Ring	Special DVD Extended Edition	The future of civilization rests in the fate of the One Ring, which has been lost for centuries. Powerful forces are unrelenting in their search for it. But fate has placed it in the hands of a young Hobbit named Frodo Baggins, who inherits the Ring and steps into legend. A daunting task lies ahead for Frodo when he becomes the Ringbearer, to destroy the One Ring in the fires of Mount Doom where it was forged. 	208m	"After the New Zealand premiere, director Peter Jackson joined the actors who played the nine members of the Fellowship by getting a commemorative tattoo of his own. While their tattoos were the Elvish symbol for ""9"", Jackson received an Elvish ""10"". "	In this movie's first theatrical release, a story circulated that when Sam tells Frodo that he is now the farthest he has ever been from home, a car is visible driving by in the background (top-right corner of the screen). Arguments ensued. Some said it was smoke from a chimney, others said they saw the glint of sunlight reflected from the windshield of a fast-moving vehicle. In the version of the movie released on DVD, there is definitely no car, only chimney smoke and a one-frame flash of light that could conceivably be a car, but not in any sense that could be considered a goof. Peter Jackson said (in the commentary track on the Extended DVD) that he looked at every frame on a computer, and has never seen anything resembling a car, and claims that it's nonsense (and certainly the original sighting remains unconfirmed by IMDb goof spotters). In the documentary of the Extended DVD version, editor John Gilbert says that there was a car in the background, but they thought no one would notice it. They got rid of it in the DVD version. In a subsequent magazine interview, Jackson agreed that the car was there. 	"Gollum looks different in this movie than in later installments, because scheduling forced those scenes to be filmed based on an early design (made before Andy Serkis was cast in the role). He is only seen in brief glimpses, partly due to this discrepancy, and partly to tease audiences before his entrance in The Lord of the Rings: The Two Towers (2002). Peter Jackson (jokingly) said in the commentary on the Extended DVD that sometime in the future he would enjoy creating a ""Special Edition"" (à la Star Wars: Episode IV - A New Hope (1977)) where this inconsistency could be fixed. "	8.8	92	91.00%	https://www.imdb.com/title/tt0120737/mediaviewer/rm1993383424?ref_=ttmi_mi_all_prd_160	https://m.media-amazon.com/images/M/MV5BODk1MzkwNTA4N15BMl5BanBnXkFtZTgwOTU1ODY3MjI@._V1_CR0,60,640,360_AL_UX477_CR0,0,477,268_AL_.jpg	Action, Adventure, Drama, Fantasy	2001	PG-13
https://www.imdb.com/title/tt0120737	The Lord of the Rings: The Fellowship of the Ring	Blu Ray Extended Edition	The future of civilization rests in the fate of the One Ring, which has been lost for centuries. Powerful forces are unrelenting in their search for it. But fate has placed it in the hands of a young Hobbit named Frodo Baggins, who inherits the Ring and steps into legend. A daunting task lies ahead for Frodo when he becomes the Ringbearer, to destroy the One Ring in the fires of Mount Doom where it was forged. 	228m	When Gandalf had his big stand-off scene with the Balrog, Sir Ian McKellen was actually acting to a green ping pong ball, which was used, along with the greenscreen technology employed during filming, to give him and other cast members a reference point for some of the larger CGI characters. 	Originally, the narration at the prologue was to be spoken by Elijah Wood, but it was felt that the information imparted had little bearing on the character of Frodo. Sir Ian McKellen also recorded a narration, but once again, it was felt that Gandalf wasn't the right character to speak it; neither he nor Frodo was present at the events described in the prologue. They eventually settled on Cate Blanchett as Galadriel, as it emphasizes the timelessness of the elves. 	It is estimated that filming of the trilogy pumped about $200 million into the New Zealand economy. The New Zealand government even created a Minister for Lord of the Rings, whose remit was to exploit all the economic opportunities the movies represented. 	8.8	92	91.00%	https://www.imdb.com/title/tt0120737/mediaviewer/rm1566200320?ref_=ttmi_mi_all_prd_692	https://m.media-amazon.com/images/M/MV5BODk1MzkwNTA4N15BMl5BanBnXkFtZTgwOTU1ODY3MjI@._V1_CR0,60,640,360_AL_UX477_CR0,0,477,268_AL_.jpg	Action, Adventure, Drama, Fantasy	2001	PG-13
https://www.imdb.com/title/tt0120737	The Lord of the Rings: The Fellowship of the Ring	DVD Widescreen Edition	The future of civilization rests in the fate of the One Ring, which has been lost for centuries. Powerful forces are unrelenting in their search for it. But fate has placed it in the hands of a young Hobbit named Frodo Baggins, who inherits the Ring and steps into legend. A daunting task lies ahead for Frodo when he becomes the Ringbearer, to destroy the One Ring in the fires of Mount Doom where it was forged. 	171m	The Elvish language lines spoken in this movie are not just quotes from the book, they were derived from J.R.R. Tolkien's own limited dictionary of that language. Dialect coach Andrew Jack used recordings of Tolkien reading his books to guide the actors' and actresses' pronunciations. 	Hobbiton was made a year before production began to make it look like it was a natural, lived-in place, complete with real vegetable patches. The greens department regulated the length of the grass by having sheep eat it. 	Although in the movie it seems to be only a few weeks or so, in the book, the time between when Gandalf leaves to research the Ring, tries to find Gollum, and when he returns to send Frodo on his adventure is a span of seventeen years. This was significantly shortened in the film for continuity reasons. 	8.8	92	91.00%	https://www.imdb.com/title/tt0120737/mediaviewer/rm3592958976?ref_=tt_ov_i	https://m.media-amazon.com/images/M/MV5BODk1MzkwNTA4N15BMl5BanBnXkFtZTgwOTU1ODY3MjI@._V1_CR0,60,640,360_AL_UX477_CR0,0,477,268_AL_.jpg	Action, Adventure, Drama, Fantasy	2001	PG-13
https://www.imdb.com/title/tt0167261	The Lord of the Rings: The Two Towers	Standard	The Fellowship is torn apart. Sauron's power is growing stronger. While venturing on to Mordor, Frodo and Sam come across the grotesque creature Gollum, who is forever consumed by the Ring's power. Meanwhile, Aragorn, Gandalf, Legolas and Gimli meet up with new allies in the Plains of Rohan. Together, they must work to defend the people of Rohan against Sauron's puppet Saruman as he unleashes his armies from Isengard. All the while, Sauron prepares to launch an attack on Gondor. The War for the Ring begins here. 	179m	"In the wide shots of Legolas, Aragorn, and Gimli running after the Orcs, all three performers are running injured. Orlando Bloom had a couple of broken ribs (from a fall off of a horse). Viggo Mortensen had a broken toe (from kicking the helmet in the Orcs funeral pyre scene). Brett Beattie (Gimli's stunt double) had a knee injury. Peter Jackson said that all three were very dedicated and continued to film the scene, often yelling ""ouch"" or ""ow"" after ""cut"" was called. "	On the wall of Helm's Deep during the battle, a one-eyed warrior turns to the camera, revealing his scarred empty socket. The performer who played him showed up as an extra, wearing an eye patch. Director Peter Jackson politely asked to see what was under the patch, and then inquired if the gentleman would be interested in appearing in the movie sans eye patch. The gentleman was reluctant at first, and quite self-conscious, but afterward, said the experience had made him more comfortable with his condition. 	Sean Astin shot his short movie The Long and Short of It (2003) during a re-shoot in New Zealand. Lucasfilm was demonstrating its new high definition digital video cameras (used on Star Wars: Episode II - Attack of the Clones (2002)) for Peter Jackson, and Astin asked the Lucasfilm crew if they could stay an extra day, so he could use the camera to shoot his short movie. They agreed, and Astin shot the movie in six hours.	8.7	87	95.00%	https://www.imdb.com/title/tt0167261/mediaviewer/rm306845440?ref_=tt_ov_i	https://www.imdb.com/video/imdb/vi2073101337?playlistId=tt0167261&ref_=tt_ov_vi	Action, Adventure, Drama, Fantasy	2002	PG-13
https://www.imdb.com/title/tt0167261	The Lord of the Rings: The Two Towers	Special DVD Extended Edition	The Fellowship is torn apart. Sauron's power is growing stronger. While venturing on to Mordor, Frodo and Sam come across the grotesque creature Gollum, who is forever consumed by the Ring's power. Meanwhile, Aragorn, Gandalf, Legolas and Gimli meet up with new allies in the Plains of Rohan. Together, they must work to defend the people of Rohan against Sauron's puppet Saruman as he unleashes his armies from Isengard. All the while, Sauron prepares to launch an attack on Gondor. The War for the Ring begins here. 	223m	They couldn't recruit enough men in the six foot height area to play Uruk-hai, so men from five foot high were cast as well. They were affectionately nicknamed the Uruk-Low. 	EASTER EGG: In the Extended Edition DVD, on the first movie disc, go to chapter 29-30 under the scene selection. Press down under chapter 30 and a gold ring will appear. It's a hidden extra of the MTV Awards for Andy Serkis receiving Best Virtual Performance. 	The Extended Version reveals that Aragorn is eighty-seven years old. This is said to be due to the fact that he is a descendant of the Dunedain, gifted with long life. 	8.7	87	95.00%	https://www.imdb.com/title/tt0167261/mediaviewer/rm2090508032?ref_=ttmi_mi_all_prd_120	https://www.imdb.com/video/imdb/vi2073101337?playlistId=tt0167261&ref_=tt_ov_vi	Action, Adventure, Drama, Fantasy	2002	PG-13
https://www.imdb.com/title/tt0167261	The Lord of the Rings: The Two Towers	Blu Ray Extended Edition	The Fellowship is torn apart. Sauron's power is growing stronger. While venturing on to Mordor, Frodo and Sam come across the grotesque creature Gollum, who is forever consumed by the Ring's power. Meanwhile, Aragorn, Gandalf, Legolas and Gimli meet up with new allies in the Plains of Rohan. Together, they must work to defend the people of Rohan against Sauron's puppet Saruman as he unleashes his armies from Isengard. All the while, Sauron prepares to launch an attack on Gondor. The War for the Ring begins here. 	235m	As the Orcs have black blood, it was only natural that the inside of their mouths should not be pink, but black as well. To achieve this, the Orc actors had to swill a liquorice-based mouthwash prior to each of their scenes. 	The main door of Helm's Deep was built so heavy, and so well, that the real battering ram that was built to knock down the gates failed to do so until the door was weakened. Someone had built the door a little bit too well, and director Peter Jackson can be heard on the Extended Edition DVD commenting that if they had to defend a castle, he would want the WETA workshop guys to build the door. 	"The ten thousand Uruk-Hai battle chants for the Helm's Deep battle sequence were provided by a stadium of twenty-five thousand cricket fans, who chanted the war chants, ""Derbgoo, nashgshoo, derbgoo, dashshoo"", spelled out on the Diamond Vision screen, with Peter Jackson leading the crowd. "	8.7	87	95.00%	https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F91dmyulObyL._SL1500_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.com%2FLord-Rings-Towers-Extended-Blu-ray%2Fdp%2FB008GFI4V8&tbnid=9Im5ifog3btrmM&vet=12ahUKEwiHrrOG_-TtAhUQNa0KHTGMBMIQMygDegUIARD7AQ..i&docid=qMf_j-QzD-m9kM&w=1186&h=1500&q=lord%20of%20the%20rings%20two%20towers%20blu%20ray%20extended%20picture&ved=2ahUKEwiHrrOG_-TtAhUQNa0KHTGMBMIQMygDegUIARD7AQ	https://www.imdb.com/video/imdb/vi2073101337?playlistId=tt0167261&ref_=tt_ov_vi	Action, Adventure, Drama, Fantasy	2002	PG-13
https://www.imdb.com/title/tt0167261	The Lord of the Rings: The Two Towers	DVD Widescreen Edition	The Fellowship is torn apart. Sauron's power is growing stronger. While venturing on to Mordor, Frodo and Sam come across the grotesque creature Gollum, who is forever consumed by the Ring's power. Meanwhile, Aragorn, Gandalf, Legolas and Gimli meet up with new allies in the Plains of Rohan. Together, they must work to defend the people of Rohan against Sauron's puppet Saruman as he unleashes his armies from Isengard. All the while, Sauron prepares to launch an attack on Gondor. The War for the Ring begins here. 	172m	"There were so many extras used in the sequences at Helm's Deep, and the filming went on for so many months, that almost all the extras and principal actors got t-shirts reading ""I survived Helm's Deep"". There were so many of these shirts that extras would often meet other extras in New Zealand's main cities, because they would recognize the shirts. "	The location for Edoras was in the midst of a national park. The Conservation Society of New Zealand gave them permission to film there on the proviso that they left it in exactly the same condition that they found it. This meant lifting most of the natural vegetation and grasses up, and storing them in a purpose-built nursery, as filming in the location would last approximately sixteen months. 	The first appearance of the White Wizard in Fangorn Forest was made intentionally confusing, by compositing the eyes of Sir Christopher Lee into the face of Sir Ian McKellen. The voices of both were also mixed in alternating intensity to add to the confusion. 	8.7	87	95.00%	https://www.imdb.com/title/tt0167261/mediaviewer/rm306845440?ref_=tt_ov_i	https://www.imdb.com/video/imdb/vi2073101337?playlistId=tt0167261&ref_=tt_ov_vi	Action, Adventure, Drama, Fantasy	2002	PG-13
https://www.imdb.com/title/tt0167260	The Lord of the Rings: The Return of the King	Standard	The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith. 	201m	To get enough extras for the Battle at the Black Gate, a few hundred members of the New Zealand Army were brought in. They apparently were so enthusiastic during the battle scenes that they kept breaking the wooden swords and spears they were given. 	The dead oliphaunt carcass used in this movie is reportedly the largest prop ever built for a movie. According to members of the prop department, director Peter Jackson still thought it could have been bigger. 	The last shot of principal photography was when the newly-crowned Aragorn bows to the four Hobbits. Although Viggo Mortensen did not need to be on-set for that day, he nevertheless insisted on attending. He didn't have a crown (it wasn't necessary, he wasn't being filmed), so he fashioned one out of paper. With each successive take, the crown was becoming more ornate and sillier as crew members kept decorating it, so the four actors playing the Hobbits often had difficulty suppressing their giggles. 	8.9	94	93.00%	https://www.imdb.com/title/tt0167260/mediaviewer/rm584928512?ref_=tt_ov_i	https://www.imdb.com/video/imdb/vi2073101337?playlistId=tt0167260&ref_=tt_ov_vi	Action, Adventure, Drama, Fantasy	2003	PG-13
https://www.imdb.com/title/tt0167260	The Lord of the Rings: The Return of the King	Special DVD Extended Edition	The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith. 	254m	"Even though Saruman's demise appears in the Extended Edition DVD of this movie, Sir Christopher Lee was ""not amused"" that his character was cut from the theatrical release. In an interview done after the release of the Extended Edition DVD, he acknowledged that the makers gave him several arguments for trimming the scene (pacing and time constraints), but in his opinion, none of them justified omitting such an important narrative element. As a result, Lee and Peter Jackson had a brief falling out. Lee eventually agreed to appear in The Hobbit: An Unexpected Journey (2012), and asked Jackson if his scenes had been cut when he was invited to the premiere. "	Viggo Mortensen and Billy Boyd were standing off-camera during Sam's wedding scene, pretending to be wedding guests, in order to help Sean Astin's performance. After Sarah McLeod threw her bridal bouquet to Boyd, Mortensen gave Boyd a passionate kiss. The filming of the scene (and the kiss) appear on the Extended Edition DVD extras. 	"EASTER EGGS: On the Extended Edition DVD, disc one, as per the first two movies, go to the scene selection menu, to the last page. Press down until a ring icon appears next to the ""new scene"" phrase; up comes a satellite ""interview"" of Elijah Wood, given by Dominic Monaghan using a German accent. Do the same thing on disc two to uncover an MTV skit featuring Ben Stiller and Vince Vaughn pitching The Lord of the Rings sequels to Peter Jackson. "	8.9	94	93.00%	https://www.imdb.com/title/tt0167260/mediaviewer/rm3615923456?ref_=ttmi_mi_all_prd_204	https://www.imdb.com/video/imdb/vi2073101337?playlistId=tt0167260&ref_=tt_ov_vi	Action, Adventure, Drama, Fantasy	2003	PG-13
